Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;B365H;B365D;B365A;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SOH;SOD;SOA;SBH;SBD;SBA;WHH;WHD;WHA;GB>2.5;GB<2.5;B365>2.5;B365<2.5
D1;26-10-2002;M'gladbach;Munich 1860;0;1;A;0;0;D;2.1;3.2;3;2.12;3.25;3.2;2.1;3;3.1;2.1;3.2;3;2.1;3.2;3.1;2.1;3.2;3.1;2.1;3.1;3.1;1.7;2.1;;
D1;26-10-2002;Schalke 04;Nurnberg;1;1;D;0;1;A;1.4;3.75;7;1.44;3.9;7.45;1.35;4;7;1.4;3.75;7;1.4;3.75;7.5;1.4;3.75;7.5;1.4;3.6;7.5;1.6;2.1;;
D1;26-10-2002;Stuttgart;Cottbus;0;0;D;0;0;D;1.444;3.6;6.5;1.44;3.8;7.5;1.4;3.9;6;1.44;3.5;7;1.4;3.75;7.5;1.4;3.75;7.5;1.4;3.75;7;1.6;2.1;;
D1;26-10-2002;Werder Bremen;Dortmund;1;4;A;1;1;D;2.25;3.2;2.75;2.4;3.25;3;2.4;3;2.6;2.4;3.25;2.5;2.38;3.1;2.7;2.375;3.1;2.7;2.3;3.1;2.75;1.7;2;;
D1;27-10-2002;Wolfsburg;Hansa Rostock;1;0;H;1;0;H;1.8;3.3;3.75;1.83;3.3;4.2;1.8;3.1;3.8;1.83;3.2;3.75;1.8;3.25;4;1.8;3.25;4;1.72;3.25;4.2;1.7;1.97;;
D1;2-11-2002;Cottbus;Schalke 04;0;1;A;0;0;D;3.2;3.2;2;3.35;3.3;2.01;3.1;3;2.1;3.2;3.2;2;3.25;3.25;2;3.4;3.25;2;3.2;3.2;2;1.8;1.8;;
D1;2-11-2002;Dortmund;Hamburg;1;1;D;0;0;D;1.444;3.6;6.5;1.45;3.7;7;1.45;3.8;5.4;1.44;3.6;6.5;1.44;3.6;7;1.444;3.75;7;1.44;3.6;6.5;1.65;1.95;;
D1;2-11-2002;Hannover;Wolfsburg;3;1;H;2;0;H;2.3;3.2;2.625;2.3;3.3;2.75;2.2;3;2.9;2.38;3.2;2.6;2.2;3.25;2.8;2.3;3.2;2.8;2.4;3.1;2.6;1.65;1.95;;
D1;2-11-2002;Hansa Rostock;Kaiserslautern;2;2;D;1;1;D;2;3.2;3.2;2.01;3.3;3.35;2;3.1;3.2;1.91;3.2;3.5;2.1;3.25;3;2.1;3.2;3.2;2.1;3.1;3.1;1.9;1.7;;
D1;2-11-2002;Leverkusen;Stuttgart;0;1;A;0;1;A;1.667;3.4;4.333;1.76;3.3;4.4;1.7;3.2;4.2;1.73;3.2;4.33;1.67;3.4;4.5;1.7;3.4;4.5;1.66;3.3;4.5;1.65;1.95;;
